				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:09.117	6:09:09.257 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:09.273	6:09:09.648 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:09.648	6:09:09.962 PM Jul 27, 2023	401
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:09.978	6:09:10.353 PM Jul 27, 2023	302
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:10.353	6:09:10.696 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:10.696	6:09:11.056 PM Jul 27, 2023	302
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:11.071	6:09:11.634 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:11.634	6:09:12.103 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:12.118	6:09:12.322 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:12.322	6:09:12.322 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:12.634	6:09:12.915 PM Jul 27, 2023	200
				Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/27 18:09:12.915	6:09:13.134 PM Jul 27, 2023	200
			Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/28 11:57:09.961	11:57:10.376 AM Jul 28, 2023	200
			Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/28 11:57:10.407	11:57:10.719 AM Jul 28, 2023	200
			Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/28 11:57:10.735	11:57:11.016 AM Jul 28, 2023	401
			Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/28 11:57:11.032	11:57:11.344 AM Jul 28, 2023	302
			Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/28 11:57:11.360	11:57:11.641 AM Jul 28, 2023	200
			Login	SCRBTSTDK003622	RBO152	TST_USER_05	2023/07/28 11:57:11.641	11:57:11.766 AM Jul 28, 2023	200

			Login	SCRBTSTDK003622	RBO152		2023/07/29 16:02:41.123	4:02:41.451 PM Jul 29, 2023	200
			Login	SCRBTSTDK003622	RBO152		2023/07/29 16:02:41.467	4:02:41.748 PM Jul 29, 2023	401
			Login	SCRBTSTDK003622	RBO152		2023/07/29 16:02:41.764	4:02:42.217 PM Jul 29, 2023	302
			Login	SCRBTSTDK003622	RBO152		2023/07/29 16:02:42.232	4:02:43.607 PM Jul 29, 2023	200
			Login	SCRBTSTDK003622	RBO152		2023/07/29 16:02:43.623	4:02:43.732 PM Jul 29, 2023	200
